nms_iou,conf,precision,recall,f1
0.6,0.9109,1.0,0.0,0.0
0.6,0.9159,1.0,0.0,0.0
0.6,0.9209,1.0,0.0,0.0
0.6,0.9259,1.0,0.0,0.0
0.6,0.9309,1.0,0.0,0.0
0.6,0.9359,1.0,0.0,0.0
0.6,0.9409,1.0,0.0,0.0
0.6,0.9459,1.0,0.0,0.0
0.6,0.951,1.0,0.0,0.0
0.6,0.956,1.0,0.0,0.0
0.6,0.961,1.0,0.0,0.0
0.6,0.966,1.0,0.0,0.0
0.6,0.971,1.0,0.0,0.0
0.6,0.976,1.0,0.0,0.0
0.6,0.981,1.0,0.0,0.0
0.6,0.986,1.0,0.0,0.0
0.6,0.991,1.0,0.0,0.0
0.6,0.996,1.0,0.0,0.0
0.7,0.0,0.4467,1.0,0.6175
0.7,0.005,0.7234,0.9851,0.8342
0.7,0.01,0.7998,0.9851,0.8828
0.7,0.015,0.8129,0.9851,0.8907
0.7,0.02,0.8288,0.9851,0.9002
0.7,0.025,0.8389,0.9851,0.9061
0.7,0.03,0.8468,0.9851,0.9107
0.7,0.035,0.8554,0.9851,0.9157
0.7,0.04,0.8627,0.9851,0.9198
0.7,0.045,0.8689,0.9851,0.9234
0.7,0.0501,0.872,0.9851,0.9251
0.7,0.0551,0.8751,0.9851,0.9268
0.7,0.0601,0.8781,0.9851,0.9285
0.7,0.0651,0.8831,0.9851,0.9313
0.7,0.0701,0.8911,0.9851,0.9357
0.7,0.0751,0.8926,0.9851,0.9365
0.7,0.0801,0.8933,0.9851,0.937
0.7,0.0851,0.8941,0.9851,0.9374
0.7,0.0901,0.8948,0.9851,0.9378
0.7,0.0951,0.8956,0.9851,0.9382
0.7,0.1001,0.8963,0.9851,0.9386
0.7,0.1051,0.8971,0.9851,0.939
0.7,0.1101,0.8978,0.9851,0.9394
0.7,0.1151,0.8986,0.9851,0.9398
0.7,0.1201,0.8993,0.9851,0.9402
0.7,0.1251,0.9001,0.9851,0.9407
0.7,0.1301,0.9008,0.9851,0.9411
0.7,0.1351,0.9016,0.9851,0.9415
0.7,0.1401,0.9023,0.9851,0.9419
0.7,0.1451,0.9031,0.9851,0.9423
0.7,0.1502,0.9038,0.9851,0.9427
0.7,0.1552,0.9055,0.9851,0.9436
0.7,0.1602,0.9077,0.9851,0.9448
0.7,0.1652,0.9099,0.9851,0.946
0.7,0.1702,0.9121,0.9851,0.9472
0.7,0.1752,0.9144,0.9851,0.9484
0.7,0.1802,0.9166,0.9851,0.9496
0.7,0.1852,0.9166,0.9848,0.9495
0.7,0.1902,0.9166,0.9845,0.9493
0.7,0.1952,0.9166,0.9842,0.9492
0.7,0.2002,0.9166,0.9838,0.949
0.7,0.2052,0.9165,0.9835,0.9489
0.7,0.2102,0.9165,0.9832,0.9487
0.7,0.2152,0.9165,0.9829,0.9485
0.7,0.2202,0.9165,0.9826,0.9484
0.7,0.2252,0.9164,0.9823,0.9482
0.7,0.2302,0.9164,0.982,0.9481
0.7,0.2352,0.9164,0.9817,0.9479
0.7,0.2402,0.9164,0.9814,0.9478
0.7,0.2452,0.9164,0.9811,0.9476
0.7,0.2503,0.9163,0.9807,0.9474
0.7,0.2553,0.9163,0.9804,0.9473
0.7,0.2603,0.9163,0.9801,0.9471
0.7,0.2653,0.9163,0.9798,0.947
0.7,0.2703,0.9162,0.9795,0.9468
0.7,0.2753,0.9162,0.9792,0.9467
0.7,0.2803,0.9162,0.9789,0.9465
