field,score,tp,iou
slide_20260908_141623_734,0.8291329145431519,1,0.882
slide_20260908_141657_120,0.7181331515312195,0,0.0
slide_20260908_141657_120,0.6918681859970093,1,0.879
slide_20260908_141657_120,0.4743306040763855,1,0.773
slide_20260908_141743_254,0.8226350545883179,1,0.815
slide_20260908_141743_254,0.806029736995697,1,0.741
slide_20260908_141820_771,0.795629620552063,1,0.909
slide_20260908_141820_771,0.014644444920122623,0,0.0
slide_20260908_141846_095,0.8523632287979126,1,0.734
slide_20260908_141920_198,0.8008197546005249,1,0.942
slide_20260908_141944_044,0.824318528175354,1,0.84
slide_20260908_142007_695,0.808350682258606,1,0.926
slide_20260908_142037_352,0.7897177934646606,1,0.86
slide_20260908_142104_425,0.6899259090423584,1,0.851
slide_20260908_142137_203,0.798115611076355,1,0.894
slide_20260908_160017_865,0.7838614583015442,1,0.844
slide_20260908_160053_113,0.8180217146873474,1,0.728
slide_20260908_160125_684,0.786571741104126,1,0.846
slide_20260908_160152_673,0.8114969730377197,1,0.926
slide_20260908_160242_363,0.7302125692367554,1,0.849
slide_20260908_160242_363,0.01575855165719986,1,0.59
slide_20260908_160331_394,0.8172706365585327,1,0.906
slide_20260908_160423_437,0.8030728101730347,1,0.945
slide_20260908_160521_734,0.8616290092468262,1,0.771
slide_20260908_160521_734,0.8018649220466614,1,0.724
slide_20260908_160521_734,0.7883159518241882,1,0.883
slide_20260908_160521_734,0.5858852863311768,1,0.769
slide_20260908_160614_717,0.7907676696777344,1,0.906
slide_20260908_160614_717,0.7003784775733948,1,0.825
slide_20260908_160647_746,0.8236643671989441,1,0.865
slide_20260908_160647_746,0.04076969623565674,0,0.0
slide_20260908_160728_866,0.8430976271629333,1,0.698
slide_20260908_160728_866,0.01883815787732601,0,0.0
slide_20260908_160801_677,0.834327757358551,1,0.906
slide_20260908_160801_677,0.8305779695510864,1,0.891
slide_20260908_160843_147,0.8195221424102783,1,0.883
slide_20260908_160843_147,0.8179087042808533,1,0.908
slide_20260908_160843_147,0.8131747245788574,1,0.872
slide_20260908_160934_958,0.793346107006073,1,0.905
slide_20260908_160934_958,0.7130754590034485,1,0.806
slide_20260908_161015_597,0.7336446046829224,1,0.803
slide_20260908_161101_205,0.7571314573287964,1,0.786
slide_20260908_161200_134,0.8220123648643494,1,0.908
slide_20260908_161233_127,0.6865070462226868,1,0.852
slide_20260908_161309_241,0.7958651185035706,1,0.828
slide_20260908_161309_241,0.7926051020622253,1,0.877
slide_20260908_161309_241,0.5543093085289001,0,0.0
slide_20260908_161343_086,0.7604800462722778,1,0.909
slide_20260908_161343_086,0.7137882709503174,1,0.872
slide_20260908_161440_325,0.8727294206619263,1,0.811
slide_20260908_161440_325,0.8138269782066345,1,0.912
slide_20260908_161440_325,0.09676382690668106,0,0.0
slide_20260908_161513_164,0.8074555993080139,1,0.81
slide_20260908_161513_164,0.13781364262104034,1,0.691
slide_20260908_161513_164,0.10408037155866623,0,0.0
slide_20260908_161558_230,0.8254004120826721,1,0.932
slide_20260908_161655_808,0.8045047521591187,1,0.89
slide_20260908_161655_808,0.7820577025413513,1,0.838
slide_20260908_161655_808,0.614318311214447,1,0.874
slide_20260908_161734_535,0.786577045917511,1,0.807
slide_20260908_161734_535,0.5223983526229858,0,0.0
slide_20260908_161734_535,0.012278490699827671,0,0.0
slide_20260908_161828_136,0.7864686846733093,1,0.863
slide_20260908_161828_136,0.050798699259757996,1,0.803
slide_20260908_161828_136,0.040729571133852005,1,0.868
slide_20260908_161828_136,0.01770273596048355,0,0.0
